time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2011-05-23T00:00:00Z,1.375652,1.375652,1.347578,1.347578,149920,145234,NaN,NaN
2011-05-24T00:00:00Z,1.333541,1.333541,1.277392,1.333541,137566,144721.9,NaN,NaN
2011-05-25T00:00:00Z,1.330031,1.330031,1.270373,1.270373,115495,144860.4,NaN,NaN
2011-05-26T00:00:00Z,1.277392,1.326522,1.277392,1.319503,69009,140651.95,NaN,NaN
2011-05-27T00:00:00Z,1.323013,1.340559,1.323013,1.340559,192411,143168.45,NaN,NaN
2011-05-30T00:00:00Z,1.347578,1.347578,1.33705,1.344069,34086,133733.85,NaN,NaN
2011-05-31T00:00:00Z,1.347578,1.347578,1.326522,1.347578,139895,132406.15,NaN,NaN
2011-06-01T00:00:00Z,1.347578,1.347578,1.326522,1.326522,198603,135239.9,NaN,NaN
2011-06-02T00:00:00Z,1.323013,1.372143,1.319503,1.368634,556756,159763.5,NaN,NaN
2011-06-03T00:00:00Z,1.372143,1.38969,1.361615,1.361615,93078,157679.6,NaN,NaN
2011-06-06T00:00:00Z,1.354596,1.361615,1.354596,1.358106,89744,156353.05,NaN,NaN
2011-06-07T00:00:00Z,1.358106,1.368634,1.351087,1.351087,237217,163337.85,NaN,NaN
2011-06-08T00:00:00Z,1.351087,1.351087,1.326522,1.340559,72898,163063.35,NaN,NaN
2011-06-09T00:00:00Z,1.340559,1.340559,1.330031,1.340559,91874,140834.55,NaN,NaN
2011-06-10T00:00:00Z,1.340559,1.340559,1.330031,1.340559,88923,141800.4,NaN,NaN
2011-06-14T00:00:00Z,1.333541,1.340559,1.333541,1.333541,114264,145581,NaN,NaN
2011-06-15T00:00:00Z,1.340559,1.354596,1.340559,1.354596,25010,132214.55,NaN,NaN
2011-06-16T00:00:00Z,1.351087,1.351087,1.319503,1.333541,115134,135440,NaN,NaN
2011-06-17T00:00:00Z,1.347578,1.452857,1.340559,1.452857,251056,142297.65,NaN,NaN
2011-06-20T00:00:00Z,1.459876,1.459876,1.417764,1.417764,139206,145607.25,NaN,NaN
2011-06-21T00:00:00Z,1.410746,1.410746,1.382671,1.38969,44271,140324.8,NaN,NaN
2011-06-22T00:00:00Z,1.396708,1.400218,1.382671,1.38969,42346,135563.8,NaN,NaN
2011-06-23T00:00:00Z,1.403727,1.403727,1.38969,1.403727,235582,141568.15,NaN,NaN
2011-06-24T00:00:00Z,1.403727,1.43882,1.403727,1.43882,125626,144399,NaN,NaN
2011-06-27T00:00:00Z,1.417764,1.417764,1.410746,1.417764,136989,141627.9,NaN,NaN
2011-06-28T00:00:00Z,1.417764,1.424783,1.410746,1.417764,589991,169423.15,NaN,NaN
2011-06-29T00:00:00Z,1.417764,1.417764,1.403727,1.417764,56496,165253.2,NaN,NaN
2011-06-30T00:00:00Z,1.410746,1.410746,1.38969,1.400218,182201,164433.1,NaN,NaN
2011-07-01T00:00:00Z,1.410746,1.445839,1.410746,1.417764,163215,144756.05,NaN,NaN
2011-07-04T00:00:00Z,1.431802,1.452857,1.424783,1.452857,119095,146056.9,NaN,NaN
2011-07-05T00:00:00Z,1.452857,1.473913,1.452857,1.473913,158764,149507.9,NaN,NaN
2011-07-06T00:00:00Z,1.459876,1.473913,1.452857,1.459876,382285,156761.3,NaN,NaN
2011-07-07T00:00:00Z,1.459876,1.466895,1.43882,1.445839,47283,155480.55,NaN,NaN
2011-07-08T00:00:00Z,1.445839,1.445839,1.43882,1.43882,84653,155119.5,NaN,NaN
2011-07-11T00:00:00Z,1.43882,1.43882,1.410746,1.424783,453349,173340.8,NaN,NaN
2011-07-12T00:00:00Z,1.410746,1.410746,1.38969,1.400218,52348,170245,NaN,NaN
